,question,subject,main_entity,image_url
353,This train company was formed in the year of,SNCF,This train,./A photo of SNCF
354,This company formed in 2011 and is based in,Rogers Media,This company,./A photo of Rogers Media
355,This person's expertise is in the theory of algebraic,David Hilbert,This person's,./A photo of David Hilbert
356,This rural district is located in the country of,Gavork-e Nalin Rural District,This rural,./A photo of Gavork-e Nalin Rural District
357,The language of this publication was not the language of the,L'Histoire,this publication,./A photo of L'Histoire
358,"In this city, the official language is",Melitopol,"this city,",./A photo of Melitopol
359,This poet follows the religion of,Hafez,This poet,./A photo of Hafez
360,This person works in the field of,Giordano Bruno,This person,./A photo of Giordano Bruno
361,This place is located in the heart of,Galerie des Machines,This place,./A photo of Galerie des Machines
362,This show debuted on,The New Dick Van Dyke Show,This show,./A photo of The New Dick Van Dyke Show
363,This person follows the religion of,Ahmad al-Badawi,This person,./A photo of Ahmad al-Badawi
364,The location of this community is in the northern part of,Hualapai people,this community,./A photo of Hualapai people
365,This person's expertise is not only in the field of,Paracelsus,This person's,./A photo of Paracelsus
366,"This bank, that originated in",Banco di Napoli,"This bank,",./A photo of Banco di Napoli
367,This person's domain of work is the study of the,Stephen Jay Gould,This person's,./A photo of Stephen Jay Gould
368,This person professionally plays the sport of,Mark Messier,This person,./A photo of Mark Messier
369,The language of this show is a mixture of,Amar en tiempos revueltos,this show,./A photo of Amar en tiempos revueltos
370,"This place, from the",Joe Louis Arena,"This place,",./A photo of Joe Louis Arena
371,"In this country, the language spoken is",Grenada,"this country,",./A photo of Grenada
372,"This athlete, who has a citizenship of",Vita Semerenko,"This athlete,",./A photo of Vita Semerenko
373,This show premiered on,Alvin and the Chipmunks,This show,./A photo of Alvin and the Chipmunks
374,"This person, whose position is that of a superior",Pius VIII,"This person,",./A photo of Pius VIII
375,This show was released on,Law & Order,This show,./A photo of Law & Order
376,This person is employed by,Brian Krzanich,This person,./A photo of Brian Krzanich
377,This school is located in the heart of,The New School for Jazz and Contemporary Music,This school,./A photo of The New School for Jazz and Contemporary Music
378,This news program originated from the country of,Pilipinas News,This news,./A photo of Pilipinas News
379,"This person, whose position is that of a ""superior""",Pius XII,"This person,",./A photo of Pius XII
380,This software is developed by,iTunes,This software,./A photo of iTunes
381,This person is employed by the,Gary Lineker,This person,./A photo of Gary Lineker
382,This person's profession is an,Kurt Kreuger,This person's,./A photo of Kurt Kreuger
383,This show premieres on,Big Love,This show,./A photo of Big Love
384,This place is located in the north of,Shetland Islands,This place,./A photo of Shetland Islands
385,This artist died in the city of,Giacinto Brandi,This artist,./A photo of Giacinto Brandi
386,The original language of this television series is,Plus belle la vie,this television,./A photo of Plus belle la vie
387,This publication's expertise is in the field of quantum,European Physical Journal,This publication's,./A photo of European Physical Journal
388,This festival can be found in the,Maryland Film Festival,This festival,./A photo of Maryland Film Festival
389,This airport is owned by the,O'Hare International Airport,This airport,./A photo of O'Hare International Airport
390,The official language of this country is,Peru,this country,./A photo of Peru
391,This person was born in,Georges Duhamel,This person,./A photo of Georges Duhamel
392,This person is affiliated with the religion of,Sharmila Tagore,This person,./A photo of Sharmila Tagore
393,"In this city, the language spoken is",Helsinki,"this city,",./A photo of Helsinki
394,This person's domain of work is the,William Camden,This person's,./A photo of William Camden
395,This composer was born in,Claude Arrieu,This composer,./A photo of Claude Arrieu
396,"In this place, the language spoken is",Udmurt Autonomous Soviet Socialist Republic,"this place,",./A photo of Udmurt Autonomous Soviet Socialist Republic
397,This character is a member of the,Jessica Jones,This character,./A photo of Jessica Jones
398,This person's native language is,Delphine de Girardin,This person's,./A photo of Delphine de Girardin
399,This person is a citizen of,Auguste Rodin,This person,./A photo of Auguste Rodin
400,This TV series debuted on,Teen Mom,This TV,./A photo of Teen Mom
401,This anthem is located in the country of,Argentine National Anthem,This anthem,./A photo of Argentine National Anthem
402,This historian was born in the city of,Jules Michelet,This historian,./A photo of Jules Michelet
403,This glacier belongs to the continent of,Kirkby Glacier,This glacier,./A photo of Kirkby Glacier
404,This person worked in the city of,Otto Hauser,This person,./A photo of Otto Hauser
405,The language of this film is a mixture of,Lapland Odyssey,this film,./A photo of Lapland Odyssey
406,This artist is originally from,Giacinto Brandi,This artist,./A photo of Giacinto Brandi
407,This person is employed by the,Delia Derbyshire,This person,./A photo of Delia Derbyshire
408,This person is a citizen of,Shigeki Maruyama,This person,./A photo of Shigeki Maruyama
409,This service is a product of the,Windows Genuine Advantage,This service,./A photo of Windows Genuine Advantage
410,This person worked in the city of,"Elizabeth Butler-Sloss, Baroness Butler-Sloss",This person,"./A photo of Elizabeth Butler-Sloss, Baroness Butler-Sloss"
411,This glacier belongs to the continent of,Emmanuel Glacier,This glacier,./A photo of Emmanuel Glacier
412,"This aircraft, developed by",EA-18G Growler,"This aircraft,",./A photo of EA-18G Growler
413,This person died in the city of,Julian Huxley,This person,./A photo of Julian Huxley
414,"This library software system, a product of the former",Dynix,This library,./A photo of Dynix
415,This place is located in the country of,Eibenstock,This place,./A photo of Eibenstock
416,This person holds the position of the first female,Acca of Hexham,This person,./A photo of Acca of Hexham
417,This person worked in the city of,"Sir Francis Baring, 1st Baronet",This person,"./A photo of Sir Francis Baring, 1st Baronet"
418,This software's owner is,Windows Media Player,This software's,./A photo of Windows Media Player
419,This person's native language is,Georges Gorse,This person's,./A photo of Georges Gorse
420,This person originates from the city of,Amol Palekar,This person,./A photo of Amol Palekar
421,"This tablet, created by",Kindle Fire,"This tablet,",./A photo of Kindle Fire
422,This person is native to,Koichi Ishii,This person,./A photo of Koichi Ishii
423,This person passed away in,Gaetano Moroni,This person,./A photo of Gaetano Moroni
424,The capital of this prefecture is the city of,Kyōto Prefecture,this prefecture,./A photo of Kyōto Prefecture
425,This device is developed by,iPod Mini,This device,./A photo of iPod Mini
426,The headquarters of this company are in,Mitsubishi Corporation,this company,./A photo of Mitsubishi Corporation
427,This person plays the,Philip Glass,This person,./A photo of Philip Glass
428,This website is written in,Animator.ru,This website,./A photo of Animator.ru
429,This person died in,Alphonse James de Rothschild,This person,./A photo of Alphonse James de Rothschild
430,The capital of this country is named after the,Beijing,this country,./A photo of Beijing
431,This composer plays the instrument of the,Johann Strauss I,This composer,./A photo of Johann Strauss I
432,The location of this museum is in the heart of,British Museum,this museum,./A photo of British Museum
433,The location of this law school is in,Harvard Law School,this law,./A photo of Harvard Law School
434,The original language of this album is a blend of,Voodoo Lounge,this album,./A photo of Voodoo Lounge
435,This car model is developed by,Acura ZDX,This car,./A photo of Acura ZDX
436,"This person, who held the position of a",Fulgentius of Ruspe,"This person,",./A photo of Fulgentius of Ruspe
437,This river belongs to the continent of,Yangtze,This river,./A photo of Yangtze
438,This newspaper is written in,Le Moniteur Universel,This newspaper,./A photo of Le Moniteur Universel
439,This news agency's articles are written in,RIA Novosti,This news,./A photo of RIA Novosti
440,This person is known for performing in the,Luciano Pavarotti,This person,./A photo of Luciano Pavarotti
441,This game series is developed by,Final Fantasy,This game,./A photo of Final Fantasy
442,This person works in the area of economics and,Vilfredo Pareto,This person,./A photo of Vilfredo Pareto
443,This person is employed by,Steve Ballmer,This person,./A photo of Steve Ballmer
444,This person died in the city of,Antonio Marcello Barberini,This person,./A photo of Antonio Marcello Barberini
445,This operating system is developed by,Windows Phone 8.1,This operating system,./A photo of Windows Phone 8.1
446,This phone series is developed by,Lumia series,This phone,./A photo of Lumia series
447,This company was created in the country of,Scania,This company,./A photo of Scania
448,This newspaper is written in,Le Quotidien de Paris,This newspaper,./A photo of Le Quotidien de Paris
449,This city belongs to the continent of,Toulouse,This city,./A photo of Toulouse
450,The capital of this country is,Indonesia,this country,./A photo of Indonesia
451,This person's native language is,Bernard Giraudeau,This person's,./A photo of Bernard Giraudeau
452,The original language of this film is a mixture of,Il Posto,this film,./A photo of Il Posto
453,This person follows the religion of,Hersekzade Ahmed Pasha,This person,./A photo of Hersekzade Ahmed Pasha
454,This service was created by the folks at,iTunes Radio,This service,./A photo of iTunes Radio
455,"This flooring material, that originated in",tatami,This flooring,./A photo of tatami
456,"This person, who has the position of",Gregory of Nazianzus,"This person,",./A photo of Gregory of Nazianzus
457,The original language of this film was written in,Die Nibelungen,this film,./A photo of Die Nibelungen
458,This show premieres on,The Young and the Restless,This show,./A photo of The Young and the Restless
459,This person died in the city of,Yves Rocard,This person,./A photo of Yves Rocard
460,This game is developed by,Mario Bros.,This game,./A photo of Mario Bros.
461,This historical period belongs to the continent of,Viking Age,This historical,./A photo of Viking Age
462,This glacier belongs to the continent of,Sjogren Glacier,This glacier,./A photo of Sjogren Glacier
463,This person worked in the city of,David Mellor,This person,./A photo of David Mellor
464,This person died in the city of,Donato Bramante,This person,./A photo of Donato Bramante
465,"This car model, developed by",Lexus LF,This car,./A photo of Lexus LF
466,This operating system is created by,Windows Embedded CE 6.0,This operating,./A photo of Windows Embedded CE 6.0
467,This person follows the religion of,Abdolkarim Soroush,This person,./A photo of Abdolkarim Soroush
468,The native language of this person is,Alfred Savoir,this person,./A photo of Alfred Savoir
469,The headquarter of this political party is located in the city of,All India Anna Dravida Munnetra Kazhagam,this political,./A photo of All India Anna Dravida Munnetra Kazhagam
470,This show premiered on the,Microsoap,This show,./A photo of Microsoap
471,This person was born in,Adolphe d'Ennery,This person,./A photo of Adolphe d'Ennery
472,This show premieres on,The Late Late Show with Craig Ferguson,This show,./A photo of The Late Late Show with Craig Ferguson
473,This person is a citizen of,Arne Vidar Røed,This person,./A photo of Arne Vidar Røed
474,This person worked in the office of the mayor of the city of,Antoni Brodowski,This person,./A photo of Antoni Brodowski
475,"This person, of",Jeff Zucker,"This person,",./A photo of Jeff Zucker
476,This song is written in,Ne partez pas sans moi,This song,./A photo of Ne partez pas sans moi
477,The capital of this country is,Peru,this country,./A photo of Peru
478,"This musician, who plays the role of a",Miles Davis,"This musician,",./A photo of Miles Davis
479,This tournament is located in,2004 Australian Open,This tournament,./A photo of 2004 Australian Open
480,This museum is located in,Norwegian Museum of Cultural History,This museum,./A photo of Norwegian Museum of Cultural History
481,This person is employed by the,Jeremy Vine,This person,./A photo of Jeremy Vine
482,This pub is located in the heart of,"Hope and Anchor, Islington",This pub,"./A photo of Hope and Anchor, Islington"
483,This microarchitecture is developed by,Sandy Bridge,This microarchitecture,./A photo of Sandy Bridge
484,The capital of this country was,Second Spanish Republic,this country,./A photo of Second Spanish Republic
485,This newspaper is written in,Le Mauricien,This newspaper,./A photo of Le Mauricien
486,This software is developed by,Windows Live Mail,This software,./A photo of Windows Live Mail
487,The capital city of this historical government is,Commonwealth of England,this historical,./A photo of Commonwealth of England
488,"This series, that originated in",Tokyo Mew Mew,"This series,",./A photo of Tokyo Mew Mew
489,The genre played by this book is a mix of,The Enchanter Reborn,this book,./A photo of The Enchanter Reborn
490,This glacier belongs to the continent of,Johnson Glacier,This glacier,./A photo of Johnson Glacier
491,This person follows the religion of,Dildar Ali Naseerabadi,This person,./A photo of Dildar Ali Naseerabadi
492,This person's native language is,Marguerite Yourcenar,This person's,./A photo of Marguerite Yourcenar
493,This fashion brand was started in,Chanel,This fashion brand,./A photo of Chanel
494,This phone model is developed by,iPhone 3GS,This phone,./A photo of iPhone 3GS
495,The language of this album was a mixture of,Mi Reflejo,this album,./A photo of Mi Reflejo
496,This city belongs to the continent of,Chandigarh,This city,./A photo of Chandigarh
497,This show debuted on,Outside the Lines,This show,./A photo of Outside the Lines
498,This person was born in the city of,Hideki Shirakawa,This person,./A photo of Hideki Shirakawa
499,The headquarter of this company is in,Weta Digital,this company,./A photo of Weta Digital
500,This person died in the city of,William Bayliss,This person,./A photo of William Bayliss
501,This person professionally plays the sport of,Juninho Pernambucano,This person,./A photo of Juninho Pernambucano
502,This version of the software is developed by,Internet Explorer 10,This version,./A photo of Internet Explorer 10
503,This athlete professionally plays the sport of,Russell Wilson,This athlete,./A photo of Russell Wilson
504,This person follows the religion of,Ibn Battuta,This person,./A photo of Ibn Battuta
505,The original language of this work was written in,De Officiis,this work,./A photo of De Officiis
506,This person works for the,Lyse Doucet,This person,./A photo of Lyse Doucet
507,The headquarter of this team is located in the heart of downtown.,Minnesota Strikers,this team,./A photo of Minnesota Strikers
508,This person died in the city of,"Sir William Dunn, 1st Baronet, of Lakenheath",This person,"./A photo of Sir William Dunn, 1st Baronet, of Lakenheath"
509,This accessory is produced by,Wii Balance Board,This accessory,./A photo of Wii Balance Board
510,"This person, of",Gwen Ifill,"This person,",./A photo of Gwen Ifill
511,This person follows the religion of,Osman I,This person,./A photo of Osman I
512,This person is a citizen of,Henri Maurice Berteaux,This person,./A photo of Henri Maurice Berteaux
513,This place belongs to the continent of,The Hague,This place,./A photo of The Hague
514,This university is located in the country of,Myongji University,This university,./A photo of Myongji University
515,This organization is a part of the,Costa Rican Football Federation,This organization,./A photo of Costa Rican Football Federation
516,This show premieres on,Trailer Park Boys,This show,./A photo of Trailer Park Boys
517,This person plays in the position of a central,Gareth Barry,This person,./A photo of Gareth Barry
518,This airport is called after the airport in,Gatwick Airport,This airport,./A photo of Gatwick Airport
519,The capital city of this country is,Second Polish Republic,this country,./A photo of Second Polish Republic
520,This person works in the field of,Charles Babbage,This person,./A photo of Charles Babbage
521,This person died in the city of,Charles Louis Alphonse Laveran,This person,./A photo of Charles Louis Alphonse Laveran
522,This person is a citizen of,Buichi Terasawa,This person,./A photo of Buichi Terasawa
523,This county is in the middle of the,Nez Perce County,This county,./A photo of Nez Perce County
524,"In this region, the language spoken is",Luhansk Oblast,"this region,",./A photo of Luhansk Oblast
525,This person's expertise is in the field of,Tycho Brahe,This person's,./A photo of Tycho Brahe
526,This show is written in,Sesamstraat,This show,./A photo of Sesamstraat
527,This newspaper was written in the late 19th century by a,Birobidzhaner Shtern,This newspaper,./A photo of Birobidzhaner Shtern
528,This person is a citizen of,Mohammad-Taqi Mesbah-Yazdi,This person,./A photo of Mohammad-Taqi Mesbah-Yazdi
529,"This game series, that originated in",Monster Rancher,This game series,./A photo of Monster Rancher
530,The headquarter of this airline is in,United Airlines,this airline,./A photo of United Airlines
531,This book is written in,La Vie,This book,./A photo of La Vie
532,"This newspaper, created in 1891, is the oldest daily newspaper in",Buenos Aires Herald,"This newspaper,",./A photo of Buenos Aires Herald
533,"In this country, the language spoken is",Argentina,"this country,",./A photo of Argentina
534,This person was born in the city of,Matias Kupiainen,This person,./A photo of Matias Kupiainen
535,This team is affiliated with the,Spain national football team,This team,./A photo of Spain national football team
536,This place is located in the country of,Isola Dovarese,This place,./A photo of Isola Dovarese
537,This show debuted on,The Bill Cosby Show,This show,./A photo of The Bill Cosby Show
538,The native language of this person is,Anastasy Vonsyatsky,this person,./A photo of Anastasy Vonsyatsky
539,This institution is in the process of establishing a new university in,Open University of Catalonia,This institution,./A photo of Open University of Catalonia
540,This streaming service started in,Bandai Channel,This streaming,./A photo of Bandai Channel
541,The headquarter of this organization is in,Canada West Foundation,this organization,./A photo of Canada West Foundation
542,"This vehicle, developed by",Lexus RX,"This vehicle,",./A photo of Lexus RX
543,This person is a citizen of,Henrik Zetterberg,This person,./A photo of Henrik Zetterberg
544,This person's native language is,Alexandre Auguste Ledru-Rollin,This person's,./A photo of Alexandre Auguste Ledru-Rollin
545,"This artist, playing the",Aretha Franklin,"This artist,",./A photo of Aretha Franklin
546,This player plays in the position of,Sean Glennon,This player,./A photo of Sean Glennon
547,The capital city of this country is,Kingdom of the Netherlands,this country,./A photo of Kingdom of the Netherlands
548,This person is known for performing in the world's most famous,Raina Kabaivanska,This person,./A photo of Raina Kabaivanska
549,The original language of this film is a mixture of,Chennai 600028,this film,./A photo of Chennai 600028
550,This historical region belongs to the continent of,Prussian Partition,This historical,./A photo of Prussian Partition
551,This person worked in the city of,Joseph Locke,This person,./A photo of Joseph Locke
552,This newspaper is written in,Die Tageszeitung,This newspaper,./A photo of Die Tageszeitung
553,This song is written in,A las Barricadas,This song,./A photo of A las Barricadas
554,"In this city, the language spoken is a mixture of",Geneva,"this city,",./A photo of Geneva
555,This society's expertise is in the field of organic,Italian Chemical Society,This society's,./A photo of Italian Chemical Society
556,This person is employed by the,Terry Wogan,This person,./A photo of Terry Wogan
557,This gaming console is developed by,Wii U,This gaming,./A photo of Wii U
558,This show originally aired on the,The Famous Teddy Z,This show,./A photo of The Famous Teddy Z
559,This event can be found in,Gamescom,This event,./A photo of Gamescom
560,The headquarter of this organization is in downtown,Mayo Clinic,this organization,./A photo of Mayo Clinic
561,This scientist is known for his work in the area of quantum physics.,David Bohm,This scientist,./A photo of David Bohm
562,The capital city of this historic state is,Abbasid Caliphate,this historic state,./A photo of Abbasid Caliphate
563,This place is situated in the south of,Hohenlohe,This place,./A photo of Hohenlohe
564,This person originates from the city of,Aisha,This person,./A photo of Aisha
565,This person plays the instrument of the,Tomaso Antonio Vitali,This person,./A photo of Tomaso Antonio Vitali
566,This person died in the city of,Tony Benn,This person,./A photo of Tony Benn
567,"In this region, the language spoken is",Asturias,"this region,",./A photo of Asturias
568,This software is developed by,Android Auto,This software,./A photo of Android Auto
569,This journalist is employed by the,Jon Sopel,This journalist,./A photo of Jon Sopel
570,This person plays the,Romain-Octave Pelletier I,This person,./A photo of Romain-Octave Pelletier I
571,"This person, whose position is that of a",Saint Boniface,"This person,",./A photo of Saint Boniface
572,This newspaper is written in,Kieler Nachrichten,This newspaper,./A photo of Kieler Nachrichten
573,This player professionally plays the sport of,Jerry West,This player,./A photo of Jerry West
574,"In this place, the language spoken is",South Georgia and the South Sandwich Islands,"this place,",./A photo of South Georgia and the South Sandwich Islands
575,The capital of this former state is,United Kingdom of Great Britain and Ireland,this former state,./A photo of United Kingdom of Great Britain and Ireland
576,This person plays the,Franz Liszt,This person,./A photo of Franz Liszt
577,The capital of this region is the city of,Central Bohemian Region,this region,./A photo of Central Bohemian Region
578,This rifle was created in the country of,Arisaka,This rifle,./A photo of Arisaka
579,The capital of this region is,Lazio,this region,./A photo of Lazio
580,This football league is located in the country of,Eredivisie,This football,./A photo of Eredivisie
581,The headquarters of this archive are in the city of,Russian State Archive of Literature and Art,this archive,./A photo of Russian State Archive of Literature and Art
582,This county was named after the city of,Pittsburg County,This county,./A photo of Pittsburg County
583,This person is employed by the,John Humphrys,This person,./A photo of John Humphrys
584,This scientist passed away in,Evgeny Lifshitz,This scientist,./A photo of Evgeny Lifshitz
585,This presenter is employed by the,Victoria Derbyshire,This presenter,./A photo of Victoria Derbyshire
586,This canal is within the boundaries of the city of,Griebnitz Canal,This canal,./A photo of Griebnitz Canal
587,"In this country, the language spoken is",Iran,"this country,",./A photo of Iran
588,The native language of this person is,Nikolay Strakhov,this person,./A photo of Nikolay Strakhov
589,This musician performs on the,Alice Coltrane,This musician,./A photo of Alice Coltrane
590,This person died at the age of 87 in,Ernst Reuter,This person,./A photo of Ernst Reuter
591,The capital of this territory was,Spanish East Indies,this territory,./A photo of Spanish East Indies
592,"This person, who has a citizenship of",Peggy Nash,"This person,",./A photo of Peggy Nash
593,This event occurred in the city of,King David Hotel bombing,This event,./A photo of King David Hotel bombing
594,This person uses a language very similar to the language used by the,Ch'ien Mu,This person,./A photo of Ch'ien Mu
595,This person worked in the city of,Louis Nicolas Vauquelin,This person,./A photo of Louis Nicolas Vauquelin
596,This person speaks to the media after a meeting with the,Jean-Jacques Annaud,This person,./A photo of Jean-Jacques Annaud
597,This football club is headquartered in the heart of,St Patrick's Athletic F.C.,This football club,./A photo of St Patrick's Athletic F.C.
598,The native language of this person is,Edward Bulwer-Lytton,this person,./A photo of Edward Bulwer-Lytton
599,This person works in the field of,Lev Vygotsky,This person,./A photo of Lev Vygotsky
600,"This newspaper, that originated in",Mainichi Shinbun,"This newspaper,",./A photo of Mainichi Shinbun
601,The official religion of this school is,Talmud Torah school,this school,./A photo of Talmud Torah school
602,The location of this cemetery is in the heart of the city of,National Memorial Cemetery of the Pacific,this cemetery,./A photo of National Memorial Cemetery of the Pacific
603,"This series, that originated in",Nodame Cantabile,"This series,",./A photo of Nodame Cantabile
604,This person follows the religion of,Al-Mutawakkil,This person,./A photo of Al-Mutawakkil
605,"In the history of this region, the language spoken is",history of Limousin,"this region,",./A photo of history of Limousin
606,This person is employed by,Bill Gates,This person,./A photo of Bill Gates
607,"This person, who has a citizenship of",Frans Hubert Edouard Arthur Walter Robyns,"This person,",./A photo of Frans Hubert Edouard Arthur Walter Robyns
608,"This airport, called after the plane was diverted to",O'Hare International Airport,"This airport,",./A photo of O'Hare International Airport
609,The location of this tournament is in the heart of,2000 Australian Open,this tournament,./A photo of 2000 Australian Open
610,This aircraft is developed by,C-135 Stratolifter,This aircraft,./A photo of C-135 Stratolifter
611,This athlete professionally plays the sport of,LeBron James,This athlete,./A photo of LeBron James
612,This person worked in the city of,Philippus van Limborch,This person,./A photo of Philippus van Limborch
613,"This venue, from the",KeyArena,"This venue,",./A photo of KeyArena
614,This person is employed by,Chris Cuomo,This person,./A photo of Chris Cuomo
615,This person is a citizen of,Mohsen Mirdamadi,This person,./A photo of Mohsen Mirdamadi
616,This character is affiliated with the,Ant-Man,This character,./A photo of Ant-Man
617,This cheese was created in the country of its origin.,Caciocavallo,This cheese,./A photo of Caciocavallo
618,This show debuted on,The Good Wife,This show,./A photo of The Good Wife
619,The capital of this kingdom was,Kingdom of Egypt,this kingdom,./A photo of Kingdom of Egypt
620,The location of this building is in the centre of,Parliament of Norway Building,this building,./A photo of Parliament of Norway Building
621,This place belongs to the continent of,Handel Ice Piedmont,This place,./A photo of Handel Ice Piedmont
622,"In this region, the language spoken is a dialect of",Zabaykalsky Krai,"this region,",./A photo of Zabaykalsky Krai
623,This region is located in the country of,Kamchatka Krai,This region,./A photo of Kamchatka Krai
624,The headquarter of this airline is in,Alitalia-Linee Aeree Italiane,this airline,./A photo of Alitalia-Linee Aeree Italiane
625,This federation belongs to the organization of the,Association of Football Federations of Azerbaijan,This federation,./A photo of Association of Football Federations of Azerbaijan
626,This computer is developed by,Mac Pro,This computer,./A photo of Mac Pro
627,This person passed away in,"Juan Prim, 1st Marquis of los Castillejos",This person,"./A photo of Juan Prim, 1st Marquis of los Castillejos"
628,This show debuted on,Late Night with Conan O'Brien,This show,./A photo of Late Night with Conan O'Brien
629,This person is a citizen of,Subodh Kant Sahay,This person,./A photo of Subodh Kant Sahay
630,This person is a citizen of,Nagendra Singh,This person,./A photo of Nagendra Singh
631,This person is affiliated with the religion of,Selim I,This person,./A photo of Selim I
632,This series was created in the country of,Tenchi Universe,This series,./A photo of Tenchi Universe
633,The native language of this person is,Victor Prosper Considerant,this person,./A photo of Victor Prosper Considerant
634,This organization's expertise is not in the field of,medical association,This organization's,./A photo of medical association
635,"This mountain, in",Mauna Kea,"This mountain,",./A photo of Mauna Kea
636,This airport is located in the city of,Manassas Regional Airport,This airport,./A photo of Manassas Regional Airport
637,This person was born in,Gita Sahgal,This person,./A photo of Gita Sahgal
638,This country's official language is,Ecuador,This country's,./A photo of Ecuador
639,This person's native language is,Valentin Rasputin,This person's,./A photo of Valentin Rasputin
640,"This company, that was founded in 1885 and is headquartered in",Rheinmetall MAN Military Vehicles,"This company,",./A photo of Rheinmetall MAN Military Vehicles
641,This person holds the position of the first,Ansovinus,This person,./A photo of Ansovinus
642,This stadium is owned by the city of,Giuseppe Meazza Stadium (San Siro),This stadium,./A photo of Giuseppe Meazza Stadium (San Siro)
643,The capital of this empire was,Roman Empire,this empire,./A photo of Roman Empire
644,This person died in the city of,"Ulrika Eleonora, Queen of Sweden",This person,"./A photo of Ulrika Eleonora, Queen of Sweden"
645,This product is developed by,iPod Touch,This product,./A photo of iPod Touch
646,This cheese was created in the country of,Saint-Marcellin,This cheese,./A photo of Saint-Marcellin
647,The headquarter of this religious organization is in,Oratory of Saint Philip Neri,this religious,./A photo of Oratory of Saint Philip Neri
648,This accessory was created by,Super Game Boy,This accessory,./A photo of Super Game Boy
649,This person is employed by,Tim Cook,This person,./A photo of Tim Cook
650,This region belongs to the continent of,Hong Kong,This region,./A photo of Hong Kong
651,The capital city of this historical state is,Kingdom of Afghanistan,this historical,./A photo of Kingdom of Afghanistan
652,The owner of this company is,Skype Technologies,this company,./A photo of Skype Technologies
653,This tablet is developed by,iPad 4,This tablet,./A photo of iPad 4
654,The headquarters of this company are in,SunTrust Banks,this company,./A photo of SunTrust Banks
655,This glacier belongs to the continent of,Debenham Glacier,This glacier,./A photo of Debenham Glacier
656,This club is located in the country of,Holycross-Ballycahill GAA,This club,./A photo of Holycross-Ballycahill GAA
657,"This band performs a variety of musical styles, from",The Bays,This band,./A photo of The Bays
658,This company is headquartered in,EDP Renewables North America,This company,./A photo of EDP Renewables North America
659,This person worked in the city of,Adele Faccio,This person,./A photo of Adele Faccio
660,This person did not use the language of the,Jean-Baptiste Marchand,This person,./A photo of Jean-Baptiste Marchand
661,This show premieres on,The Sports Reporters,This show,./A photo of The Sports Reporters
662,This organization is a part of the,Portuguese Football Federation,This organization,./A photo of Portuguese Football Federation
663,This person worked in the city of,John Major,This person,./A photo of John Major
664,This person died at the age of 93 in,Henri Herz,This person,./A photo of Henri Herz
665,This player plays as a central,Yannick Cahuzac,This player,./A photo of Yannick Cahuzac
666,The capital of this short-lived state was,Hungarian Soviet Republic,this short-lived,./A photo of Hungarian Soviet Republic
667,This massif is a part of the continent of,Otway Massif,This massif,./A photo of Otway Massif
668,"This person, who has the position of a",Maximianus of Ravenna,"This person,",./A photo of Maximianus of Ravenna
669,This person plays in the position of,John Smoltz,This person,./A photo of John Smoltz
670,"The book titled ""The Cossacks"" was written in the early 20th century by this author.",The Cossacks,this author,./A photo of The Cossacks
671,The capital of this historical place is,Commonwealth of the Philippines,this historical,./A photo of Commonwealth of the Philippines
672,This district is located in the country of,Sialkot district,This district,./A photo of Sialkot district
673,This person holds the title of the first,Sabinus of Spoleto,This person,./A photo of Sabinus of Spoleto
674,This stadium is located in,Lincoln Financial Field,This stadium,./A photo of Lincoln Financial Field
675,"This person, who has the position of a",Ignatius of Antioch,"This person,",./A photo of Ignatius of Antioch
676,This person is a citizen of the country of,Margarita Moran-Floirendo,This person,./A photo of Margarita Moran-Floirendo
677,This software is developed by,Windows Live OneCare,This software,./A photo of Windows Live OneCare
678,This person is employed by the,Alan Sugar,This person,./A photo of Alan Sugar
679,"In this place, the language spoken is a mixture of",Engelberg,"this place,",./A photo of Engelberg
680,The original language of this song is,Sous le ciel de Paris,this song,./A photo of Sous le ciel de Paris
681,This building is in the heart of the city of,Federal Palace of Switzerland,This building,./A photo of Federal Palace of Switzerland
682,This operating system is developed by,macOS,This operating,./A photo of macOS
683,This person died in the city of,John Broadwood,This person,./A photo of John Broadwood
684,The native language of this person is,Xavier Saint-Macary,this person,./A photo of Xavier Saint-Macary
685,This person worked in the city of,Nitzan Horowitz,This person,./A photo of Nitzan Horowitz
686,This person is a citizen of,Sadeq Larijani,This person,./A photo of Sadeq Larijani
687,This athlete professionally plays the sport of,Jarome Iginla,This athlete,./A photo of Jarome Iginla
688,This athlete professionally plays the sport of,Terrell Owens,This athlete,./A photo of Terrell Owens
689,This person worked in the city of,Michael Foot,This person,./A photo of Michael Foot
690,This vehicle is developed by,Jeep Grand Cherokee,This vehicle,./A photo of Jeep Grand Cherokee
691,The original language of this album is a mixture of,Face Dances,this album,./A photo of Face Dances
692,This software is developed by,Time Machine (macOS),This software,./A photo of Time Machine (macOS)
693,"In this state, the language spoken is a mixture of",Tennessee,"this state,",./A photo of Tennessee
694,The headquarter of this university is in,Fudan University,this university,./A photo of Fudan University
695,This person passed away in,Stamatios Kleanthis,This person,./A photo of Stamatios Kleanthis
696,The genre played by this person is the same as the one played by the great,Mercer Ellington,this person,./A photo of Mercer Ellington
697,This player plays in the position of a defensive,Marco Tardelli,This player,./A photo of Marco Tardelli
698,This show debuted on the,SpeedWeek,This show,./A photo of SpeedWeek
699,This person plays the instrument of the,Sergiu Luca,This person,./A photo of Sergiu Luca
